order,Vp,numberOfTurn,0,1,2,3,4
"A2,A4,A1,A3,A0",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '1', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '11', 2: '12', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A2,A4,A3,A0,A1",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '1', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '11', 2: '12', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A2,A4,A3,A1,A0",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '1', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '11', 2: '12', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A3,A0,A1,A2,A4",0.16666666666666666,3,"['agent_0', False, {1: '5', 2: None, 3: None}, 1, 13, 5]","['agent_1', True, {1: '10', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: None, 2: None, 3: None}, 0, 24, 13]"
"A3,A0,A1,A4,A2",0.18181818181818182,3,"['agent_0', False, {1: '5', 2: '47', 3: None}, 2, 13, 5]","['agent_1', True, {1: '10', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: None, 2: None, 3: None}, 0, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '15', 2: None, 3: None}, 1, 24, 13]"
"A3,A0,A2,A1,A4",0.16666666666666666,3,"['agent_0', False, {1: '5', 2: None, 3: None}, 1, 13, 5]","['agent_1', True, {1: '10', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: None, 2: None, 3: None}, 0, 24, 13]"
"A3,A0,A2,A4,A1",0.16666666666666666,3,"['agent_0', False, {1: '5', 2: None, 3: None}, 1, 13, 5]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A3,A0,A4,A1,A2",0.16666666666666666,3,"['agent_0', False, {1: '5', 2: None, 3: None}, 1, 13, 5]","['agent_1', True, {1: '7', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: None, 2: None, 3: None}, 0, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A3,A0,A4,A2,A1",0.16666666666666666,3,"['agent_0', False, {1: '5', 2: None, 3: None}, 1, 13, 5]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A3,A1,A0,A2,A4",0.18181818181818182,3,"['agent_0', False, {1: None, 2: '47', 3: None}, 1, 13, 5]","['agent_1', True, {1: '10', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '15', 2: None, 3: None}, 1, 24, 13]"
"A3,A1,A0,A4,A2",0.18181818181818182,3,"['agent_0', False, {1: None, 2: '47', 3: None}, 1, 13, 5]","['agent_1', True, {1: '10', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '15', 2: None, 3: None}, 1, 24, 13]"
"A3,A1,A2,A0,A4",0.18181818181818182,3,"['agent_0', False, {1: None, 2: '47', 3: None}, 1, 13, 5]","['agent_1', True, {1: '10', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '15', 2: None, 3: None}, 1, 24, 13]"
"A3,A1,A2,A4,A0",0.18181818181818182,3,"['agent_0', False, {1: '47', 2: None, 3: None}, 1, 13, 5]","['agent_1', True, {1: '10', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '15', 2: None, 3: None}, 1, 24, 13]"
"A3,A1,A4,A0,A2",0.18181818181818182,3,"['agent_0', False, {1: '47', 2: None, 3: None}, 1, 13, 5]","['agent_1', True, {1: '10', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '15', 2: None, 3: None}, 1, 24, 13]"
"A3,A1,A4,A2,A0",0.18181818181818182,3,"['agent_0', False, {1: '47', 2: None, 3: None}, 1, 13, 5]","['agent_1', True, {1: '10', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '15', 2: None, 3: None}, 1, 24, 13]"
"A3,A2,A0,A1,A4",0.18181818181818182,3,"['agent_0', False, {1: None, 2: '47', 3: None}, 1, 13, 5]","['agent_1', True, {1: '10', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '15', 2: None, 3: None}, 1, 24, 13]"
"A3,A2,A0,A4,A1",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A3,A2,A1,A0,A4",0.18181818181818182,3,"['agent_0', False, {1: None, 2: '47', 3: None}, 1, 13, 5]","['agent_1', True, {1: '10', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '15', 2: None, 3: None}, 1, 24, 13]"
"A3,A2,A1,A4,A0",0.18181818181818182,3,"['agent_0', False, {1: '47', 2: None, 3: None}, 1, 13, 5]","['agent_1', True, {1: '10', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '15', 2: None, 3: None}, 1, 24, 13]"
"A3,A2,A4,A0,A1",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A3,A2,A4,A1,A0",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A3,A4,A0,A1,A2",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A3,A4,A0,A2,A1",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A3,A4,A1,A0,A2",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A3,A4,A1,A2,A0",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A3,A4,A2,A0,A1",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A3,A4,A2,A1,A0",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A0,A1,A2,A3",0.16666666666666666,2,"['agent_0', False, {1: '5', 2: None}, 1, 13, 5]","['agent_1', True, {1: '1', 2: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None}, 1, 21, 12]","['agent_3', True, {1: '11', 2: None}, 1, 36, 28]","['agent_4', True, {1: '10', 2: None}, 1, 24, 13]"
"A4,A0,A1,A3,A2",0.16666666666666666,3,"['agent_0', False, {1: '5', 2: None, 3: None}, 1, 13, 5]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: None, 2: None, 3: None}, 0, 21, 12]","['agent_3', True, {1: '11', 2: '12', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A0,A2,A1,A3",0.16666666666666666,2,"['agent_0', False, {1: '5', 2: None}, 1, 13, 5]","['agent_1', True, {1: '7', 2: None}, 1, 20, 12]","['agent_2', True, {1: '1', 2: None}, 1, 21, 12]","['agent_3', True, {1: '11', 2: None}, 1, 36, 28]","['agent_4', True, {1: '10', 2: None}, 1, 24, 13]"
"A4,A0,A2,A3,A1",0.16666666666666666,3,"['agent_0', False, {1: '5', 2: None, 3: None}, 1, 13, 5]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 20, 12]","['agent_2', True, {1: '1', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '11', 2: '12', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A0,A3,A1,A2",0.16666666666666666,3,"['agent_0', False, {1: '5', 2: None, 3: None}, 1, 13, 5]","['agent_1', True, {1: '7', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: None, 2: None, 3: None}, 0, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A0,A3,A2,A1",0.16666666666666666,3,"['agent_0', False, {1: '5', 2: None, 3: None}, 1, 13, 5]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A1,A0,A2,A3",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '11', 2: '12', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A1,A0,A3,A2",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '11', 2: '12', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A1,A2,A0,A3",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '11', 2: '12', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A1,A2,A3,A0",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '11', 2: '12', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A1,A3,A0,A2",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '11', 2: '12', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A1,A3,A2,A0",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '11', 2: '12', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A2,A0,A1,A3",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '1', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '11', 2: '12', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A2,A0,A3,A1",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '1', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '11', 2: '12', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A2,A1,A0,A3",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '1', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '11', 2: '12', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A2,A1,A3,A0",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '1', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '11', 2: '12', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A2,A3,A0,A1",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '1', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '11', 2: '12', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A2,A3,A1,A0",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '1', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '11', 2: '12', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A3,A0,A1,A2",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A3,A0,A2,A1",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A3,A1,A0,A2",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A3,A1,A2,A0",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A3,A2,A0,A1",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
"A4,A3,A2,A1,A0",0.16666666666666666,3,"['agent_0', False, {1: None, 2: None, 3: None}, 0, 13, 5]","['agent_1', True, {1: '5', 2: None, 3: None}, 1, 20, 12]","['agent_2', True, {1: '13', 2: None, 3: None}, 1, 21, 12]","['agent_3', True, {1: '1', 2: '11', 3: None}, 2, 36, 28]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 24, 13]"
